Age,Gender,Education_Level,Income_Level,Democracy_Rating,Trust_in_Government,Voted_Last_Election,Political_Knowledge,Media_Consumption,Social_Equality_Support
56,Male,High School,High,10,5,Yes,8,Daily,5
69,Female,High School,Middle,5,2,Yes,10,Weekly,2
46,Male,Bachelor's,Middle,6,4,No,7,Daily,5
32,Female,High School,Middle,3,2,Yes,10,Daily,2
60,Female,High School,High,9,1,Yes,10,Daily,2
25,Male,Bachelor's,Low,9,1,Yes,5,Daily,5
78,Male,Bachelor's,Middle,10,5,Yes,8,Daily,4
38,Male,Bachelor's,Middle,5,3,Yes,7,Daily,5
56,Male,Master's,Middle,7,4,Yes,7,Weekly,5
75,Male,Bachelor's,High,7,4,Yes,4,Daily,3
36,Female,Bachelor's,Low,4,3,No,9,Daily,5
40,Female,High School,High,7,1,Yes,6,Daily,2
28,Female,Bachelor's,Low,10,1,Yes,6,Weekly,3
28,Female,High School,Low,9,2,Yes,9,Rarely,3
41,Female,PhD,Low,10,5,No,10,Daily,3
70,Female,Master's,Low,10,5,Yes,10,Rarely,5
53,Female,Bachelor's,Middle,10,5,Yes,5,Daily,5
57,Male,High School,Low,9,2,Yes,4,Rarely,5
41,Male,Master's,Low,10,5,Yes,8,Daily,5
20,Male,Master's,High,9,3,Yes,8,Weekly,4
39,Male,High School,High,9,2,No,10,Weekly,3
70,Male,High School,High,10,3,No,3,Daily,5
19,Male,Master's,High,7,2,Yes,4,Rarely,2
41,Female,High School,Middle,3,5,Yes,9,Weekly,3
61,Female,Master's,Low,7,3,No,6,Daily,4
47,Male,Bachelor's,Low,6,3,Yes,3,Daily,4
55,Male,High School,Middle,7,3,No,2,Daily,5
19,Male,Master's,Low,10,2,Yes,10,Rarely,5
77,Female,High School,Middle,9,4,No,3,Weekly,5
38,Male,Bachelor's,Low,5,5,No,8,Daily,5
50,Female,High School,Low,4,3,No,7,Weekly,5
29,Male,High School,Middle,7,4,Yes,4,Rarely,3
75,Female,Bachelor's,Middle,10,5,Yes,6,Weekly,5
39,Female,Bachelor's,Middle,9,5,No,4,Weekly,5
